% 
% 
@RELATION GCH 
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE 4 REAL
@ATTRIBUTE 5 REAL
@ATTRIBUTE 6 REAL
@ATTRIBUTE 7 REAL
@ATTRIBUTE 8 REAL
@ATTRIBUTE 9 REAL
@ATTRIBUTE 10 REAL
@ATTRIBUTE 11 REAL
@ATTRIBUTE 12 REAL
@ATTRIBUTE 13 REAL
@ATTRIBUTE 14 REAL
@ATTRIBUTE 15 REAL
@ATTRIBUTE 16 REAL
@ATTRIBUTE 17 REAL
@ATTRIBUTE 18 REAL
@ATTRIBUTE 19 REAL
@ATTRIBUTE 20 REAL
@ATTRIBUTE 21 REAL
@ATTRIBUTE 22 REAL
@ATTRIBUTE 23 REAL
@ATTRIBUTE 24 REAL
@ATTRIBUTE 25 REAL
@ATTRIBUTE 26 REAL
@ATTRIBUTE 27 REAL
@ATTRIBUTE 28 REAL
@ATTRIBUTE 29 REAL
@ATTRIBUTE 30 REAL
@ATTRIBUTE 31 REAL
@ATTRIBUTE 32 REAL
@ATTRIBUTE 33 REAL
@ATTRIBUTE 34 REAL
@ATTRIBUTE 35 REAL
@ATTRIBUTE 36 REAL
@ATTRIBUTE 37 REAL
@ATTRIBUTE 38 REAL
@ATTRIBUTE 39 REAL
@ATTRIBUTE 40 REAL
@ATTRIBUTE 41 REAL
@ATTRIBUTE 42 REAL
@ATTRIBUTE 43 REAL
@ATTRIBUTE 44 REAL
@ATTRIBUTE 45 REAL
@ATTRIBUTE 46 REAL
@ATTRIBUTE 47 REAL
@ATTRIBUTE 48 REAL
@ATTRIBUTE 49 REAL
@ATTRIBUTE 50 REAL
@ATTRIBUTE 51 REAL
@ATTRIBUTE 52 REAL
@ATTRIBUTE 53 REAL
@ATTRIBUTE 54 REAL
@ATTRIBUTE 55 REAL
@ATTRIBUTE 56 REAL
@ATTRIBUTE 57 REAL
@ATTRIBUTE 58 REAL
@ATTRIBUTE 59 REAL
@ATTRIBUTE 60 REAL
@ATTRIBUTE 61 REAL
@ATTRIBUTE 62 REAL
@ATTRIBUTE 63 REAL
@ATTRIBUTE 64 REAL
@ATTRIBUTE 65 REAL
@ATTRIBUTE 66 REAL
@ATTRIBUTE class {2-0, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6} 

@DATA 
48637.0,199.0,194.0,184.0,244.0,324.0,2960.0,6478.0,6870.0,8216.0,12577.0,16046.0,22307.0,24393.0,24310.0,6449.0,491.0,1.0,0.0,0.0,0.0,0.0,49253.0,6412.0,27439.0,45160.0,27334.0,8444.0,6384.0,5186.0,4332.0,894.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51094.0,16087.0,33065.0,38746.0,19376.0,7114.0,6298.0,4544.0,3792.0,743.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
31939.0,187.0,172.0,164.0,173.0,199.0,550.0,3465.0,4415.0,6026.0,9321.0,12070.0,19517.0,23806.0,17140.0,15268.0,3028.0,0.0,0.0,0.0,0.0,0.0,32137.0,641.0,9696.0,31816.0,27040.0,20736.0,12685.0,9353.0,3296.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32158.0,1702.0,19318.0,30289.0,24152.0,18691.0,10526.0,9191.0,1408.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
33858.0,197.0,153.0,158.0,182.0,227.0,907.0,4443.0,5966.0,7994.0,10678.0,13386.0,17429.0,17591.0,14518.0,13638.0,8310.0,292.0,0.0,0.0,0.0,0.0,34048.0,491.0,19407.0,30552.0,20252.0,14119.0,12421.0,12258.0,6376.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34058.0,1939.0,30338.0,24519.0,18350.0,13212.0,12728.0,12274.0,2509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
47818.0,238.0,199.0,222.0,231.0,301.0,3623.0,7308.0,8598.0,10563.0,15201.0,17891.0,24497.0,23021.0,19657.0,16043.0,1814.0,0.0,0.0,0.0,0.0,0.0,48029.0,833.0,31211.0,46674.0,22541.0,14859.0,12486.0,10417.0,9391.0,782.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48064.0,4058.0,49439.0,31623.0,20288.0,14384.0,11039.0,10325.0,7684.0,320.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
49938.0,232.0,208.0,206.0,194.0,219.0,459.0,5710.0,7244.0,8626.0,11933.0,13289.0,19516.0,28535.0,33948.0,30634.0,15407.0,3109.0,9.0,0.0,0.0,0.0,50154.0,410.0,1812.0,56978.0,62574.0,20399.0,15345.0,9713.0,7688.0,3972.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50156.0,436.0,6929.0,85030.0,37703.0,15940.0,14517.0,8253.0,6878.0,3339.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
58051.0,213.0,207.0,206.0,213.0,238.0,440.0,5440.0,8722.0,9465.0,13056.0,14640.0,19091.0,22350.0,22891.0,20154.0,18858.0,18120.0,892.0,0.0,0.0,0.0,58319.0,1879.0,30395.0,41151.0,23736.0,19162.0,22476.0,12858.0,11463.0,11022.0,786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,7941.0,42000.0,31812.0,22124.0,18190.0,21590.0,10984.0,11181.0,8778.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
61964.0,211.0,179.0,188.0,174.0,251.0,370.0,2463.0,6665.0,7566.0,11701.0,11399.0,14283.0,18917.0,21756.0,21780.0,19699.0,14893.0,2708.0,0.0,0.0,0.0,62146.0,363.0,4069.0,20007.0,42348.0,36279.0,19543.0,12131.0,12599.0,7446.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62163.0,493.0,8542.0,32104.0,41638.0,28677.0,15404.0,11017.0,11593.0,5429.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
56140.0,219.0,200.0,198.0,212.0,215.0,444.0,4477.0,7582.0,8013.0,10665.0,12097.0,17017.0,24447.0,34366.0,32344.0,19207.0,4143.0,0.0,0.0,0.0,0.0,56353.0,456.0,6198.0,46913.0,59795.0,24990.0,14517.0,10786.0,9859.0,2116.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56370.0,698.0,17214.0,62720.0,45038.0,17422.0,12783.0,10032.0,9013.0,694.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
59232.0,244.0,213.0,213.0,242.0,310.0,725.0,6815.0,9616.0,11345.0,12911.0,14505.0,22650.0,23248.0,23042.0,19567.0,19304.0,5782.0,0.0,0.0,0.0,0.0,59524.0,2227.0,29944.0,44889.0,41558.0,17037.0,11809.0,9250.0,9060.0,4659.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59649.0,10395.0,40871.0,46405.0,28281.0,13424.0,11706.0,6815.0,8642.0,3770.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
46850.0,192.0,183.0,172.0,170.0,259.0,360.0,2874.0,5996.0,6262.0,8132.0,9869.0,12844.0,13969.0,17095.0,18599.0,18098.0,9890.0,148.0,0.0,0.0,0.0,47102.0,1852.0,11202.0,26656.0,30263.0,20455.0,11574.0,9341.0,9792.0,3724.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47305.0,5197.0,20726.0,25973.0,27966.0,15650.0,9415.0,9202.0,8049.0,2479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
54169.0,217.0,199.0,175.0,216.0,220.0,326.0,2056.0,6791.0,7223.0,9489.0,13187.0,16856.0,22051.0,22997.0,26418.0,20147.0,17342.0,8263.0,2.0,0.0,0.0,54441.0,903.0,13331.0,30413.0,49734.0,31427.0,13126.0,9853.0,13325.0,11449.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54480.0,4015.0,22316.0,43642.0,44821.0,17049.0,11034.0,9733.0,13819.0,7385.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
