% 
% 
@RELATION Moments 
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE 4 REAL
@ATTRIBUTE class {2-0, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6} 

@DATA 
65.48135534728277,40.00626687471789,-0.35651483791974176,-0.6214090146859412,2-0
65.92153536876492,41.06326624724791,-0.5927695940497023,-0.8902196165332512,2-0
70.79628913176646,49.64375797091688,-0.30305122284076,-1.24013768156192,2-0
67.40119559906054,45.10513658006632,-0.45134431741958003,-1.0990881548777724,2-0
68.1008051611777,44.9088644391715,-0.5435832515883804,-1.0857587368399046,2-0
68.63635207268598,46.41408786595124,-0.32807085993051094,-1.119637228292182,2-0
70.6700365230095,43.61505630667401,-0.5717108405856371,-0.7999694767340797,2-0
64.06939212466595,46.369488480608155,-0.2554806054104485,-1.2257859207717283,2-0
64.31031788862335,43.01771879763748,-0.31007060586507973,-0.9670391513266838,2-0
65.0043535670545,38.075265951002955,-0.6617836383981749,-0.5382616806245406,2-0
65.44180391554997,42.59071770273356,-0.4169593419333723,-0.9653022885693541,2-0
75.07985065234719,47.93562188037432,-0.47391411498105235,-0.9598174505115868,2-0
64.20783962959065,41.99011205145779,-0.36476670838369335,-0.920266403289177,2-0
64.75142991829038,39.737861693028165,-0.6143340778644982,-0.8034108989066451,2-0
64.9366064331514,39.68925958460623,-0.5786972425623963,-0.7385364078889407,2-0
66.46933400860978,45.54362549737508,-0.37641106382424894,-1.1406470083097786,2-0
68.56756894270886,48.455515421532084,-0.336547724083472,-1.2636782915250278,2-0
68.96479647964796,45.684533589462156,-0.43688401620253936,-1.0391423640789135,2-0
74.39889764041763,46.36226633907754,-0.5015285144817305,-0.885539290940923,2-0
70.11276715305921,48.73518247471032,-0.39611766780561153,-1.2260872422343712,2-0
60.4150396053363,41.89086164988599,-0.251355784730345,-1.0561029938246786,2-0
72.45147451349828,50.195600345968224,-0.39816242342606695,-1.2335515821549883,2-0
66.6753187847668,49.073869030942724,-0.2811023302652153,-1.3215579900727126,2-0
66.27181208053692,45.20299906975957,-0.3806585033247373,-1.0935615063426696,2-0
67.95841078567948,46.36822241663024,-0.31398313769222924,-1.0393872260508688,2-0
62.58087449615437,42.73350696779119,-0.4332898530182298,-1.1059170587054516,2-0
67.18274832138874,45.18023010460182,-0.376471335378076,-1.0975480845654275,2-0
67.02861517093342,44.16020373289463,-0.39517564820437445,-0.9274793418885503,2-0
62.5229388207126,44.828486671178375,-0.1824932200895619,-1.1040754226655274,2-0
67.65966586151369,43.952662251983995,-0.3028851050292808,-0.8509031215812977,2-0
68.33177294541363,45.366470405920424,-0.38416528870182476,-1.0708160368948294,2-0
67.11046562076984,42.23452727262478,-0.6003506531754275,-0.8909385056352459,2-0
76.91968334315868,49.533212916765805,-0.4709170953696744,-1.0535974408280762,2-0
72.86890977233317,46.18984211814019,-0.4093257818091034,-0.9241386291370208,2-0
70.75689244343785,43.31938087043072,-0.5720732607147514,-0.7821545383690269,2-0
65.98920871666202,46.666468143633914,-0.3680832143806593,-1.261386812132906,2-0
72.80452430515646,49.187913081324815,-0.4729004217186589,-1.178091891279871,2-0
72.4584969727614,46.27813249014018,-0.5468045819306919,-0.9694803928649209,2-0
67.9160723908748,42.63379736468508,-0.463005299975283,-0.815009243683182,2-0
66.54344546019348,43.53188716974948,-0.4769713657674877,-1.024677199833764,2-0
68.89539204307316,46.521122530335695,-0.4392235830657558,-1.1255157160429248,2-0
70.88314058728882,47.44228529099811,-0.3508452624486174,-1.088161891752079,2-0
66.65161515726656,41.33829620108049,-0.6518706944174406,-0.8364522078639225,2-0
68.31794206771283,46.187954734878936,-0.3426397766035889,-1.030748506385413,2-0
71.36963353746224,43.660348617683795,-0.6125111049310192,-0.8066399313135126,2-0
72.21474712271032,48.42587541084972,-0.3762865310489295,-1.0881009532511159,2-0
69.00865319731672,48.1037770868467,-0.37137222562973765,-1.2025585564442822,2-0
74.90661367767137,45.169888143836964,-0.5392475092137682,-0.7319368034935705,2-0
68.15529430422009,44.29450028900545,-0.5327365318839301,-1.0013478563935772,2-0
70.85598621629664,44.459775635749885,-0.46873425570352745,-0.849316394683425,2-0
69.63286892940071,43.445873669099555,-0.5720493866262742,-0.8729034965362916,2-0
71.81520313161236,41.48899211335492,-0.6272404231773665,-0.525688107717118,2-0
71.1066396929142,46.22397414380054,-0.42018007138536717,-0.9429290743029157,2-0
61.89568979239148,38.50182546841786,-0.4244582133992951,-0.7726189819350084,2-0
65.53096710849289,44.311824791847464,-0.2781233053292557,-0.9898777312282716,2-0
59.083792583336184,38.329757472459725,-0.3814360962134636,-0.7747868597082355,2-0
68.69754804758999,40.83294191902859,-0.5410016327770805,-0.6797580479777223,2-0
65.1494979616488,39.55426213134021,-0.5875848715777984,-0.7156461403336998,2-0
67.21687981261753,42.560862591833434,-0.3962726388720338,-0.8912360232689696,2-0
